Number { Value = 479, Row = 0, Col = 1, Length = 3 } -> False
Number { Value = 155, Row = 0, Col = 12, Length = 3 } -> True
Number { Value = 944, Row = 0, Col = 29, Length = 3 } -> True
Number { Value = 622, Row = 0, Col = 37, Length = 3 } -> True
Number { Value = 31, Row = 0, Col = 54, Length = 2 } -> True
Number { Value = 264, Row = 0, Col = 65, Length = 3 } -> True
Number { Value = 532, Row = 0, Col = 91, Length = 3 } -> True
Number { Value = 254, Row = 0, Col = 120, Length = 3 } -> True
Number { Value = 528, Row = 0, Col = 132, Length = 3 } -> True
Number { Value = 111, Row = 1, Col = 61, Length = 3 } -> True
Number { Value = 495, Row = 1, Col = 82, Length = 3 } -> True
Number { Value = 558, Row = 1, Col = 100, Length = 3 } -> True
Number { Value = 791, Row = 2, Col = 20, Length = 3 } -> True
Number { Value = 62, Row = 2, Col = 26, Length = 2 } -> True
Number { Value = 847, Row = 2, Col = 47, Length = 3 } -> False
Number { Value = 618, Row = 2, Col = 78, Length = 3 } -> True
Number { Value = 818, Row = 2, Col = 94, Length = 3 } -> True
Number { Value = 642, Row = 2, Col = 104, Length = 3 } -> True
Number { Value = 789, Row = 2, Col = 132, Length = 3 } -> True
Number { Value = 520, Row = 3, Col = 4, Length = 3 } -> False
Number { Value = 58, Row = 3, Col = 8, Length = 2 } -> True
Number { Value = 405, Row = 3, Col = 16, Length = 3 } -> True
Number { Value = 542, Row = 3, Col = 30, Length = 3 } -> True
Number { Value = 587, Row = 3, Col = 37, Length = 3 } -> True
Number { Value = 198, Row = 3, Col = 58, Length = 3 } -> True
Number { Value = 846, Row = 3, Col = 68, Length = 3 } -> True
Number { Value = 647, Row = 3, Col = 124, Length = 3 } -> True
Number { Value = 964, Row = 4, Col = 21, Length = 3 } -> True
Number { Value = 474, Row = 4, Col = 50, Length = 3 } -> True
Number { Value = 302, Row = 4, Col = 54, Length = 3 } -> True
Number { Value = 786, Row = 4, Col = 78, Length = 3 } -> True
Number { Value = 43, Row = 4, Col = 84, Length = 2 } -> True
Number { Value = 505, Row = 4, Col = 100, Length = 3 } -> True
Number { Value = 436, Row = 4, Col = 105, Length = 3 } -> True
Number { Value = 51, Row = 4, Col = 134, Length = 2 } -> True
Number { Value = 832, Row = 5, Col = 6, Length = 3 } -> True
Number { Value = 951, Row = 5, Col = 26, Length = 3 } -> True
Number { Value = 984, Row = 5, Col = 34, Length = 3 } -> True
Number { Value = 111, Row = 5, Col = 38, Length = 3 } -> True
Number { Value = 801, Row = 5, Col = 43, Length = 3 } -> False
